player_id,player_name,name_first,name_last,hand,dob,ioc,height,wikidata_id,atp_rank,atp_points,elo,elo_rank,best_surface,best_surface_elo,historical_matches,prediction_appearances,wins,losses,win_loss_record,last_match_date,is_active
104704,Victor Mugurel Anagnastopol,Victor,Mugurel Anagnastopol,R,19860323.0,ROU,,Q7925684,,,,,,,0,0,0,0,0-0,,False
104705,Adam Hubble,Adam,Hubble,R,19860325.0,AUS,,Q4679260,,,,,,,0,0,0,0,0-0,,False
104708,Jacopo Marchegiani,Jacopo,Marchegiani,R,19860329.0,ITA,,,,,,,,,0,0,0,0,0-0,,False
104709,Ivan Milivojevic,Ivan,Milivojevic,R,19860331.0,SRB,,,,,,,,,0,0,0,0,0-0,,False
104710,Damian Listingart,Damian,Listingart,U,19860401.0,ARG,,,,,,,,,0,0,0,0,0-0,,False
104711,G Jones,G,Jones,R,19860401.0,NZL,183.0,,,,,,,,0,0,0,0,0-0,,False
104712,Israel Morales,Israel,Morales,R,19860402.0,GUA,,,,,,,,,0,0,0,0,0-0,,False
104713,Juan Pablo Amado,Juan Pablo,Amado,R,19860402.0,ARG,,,,,,,,,0,0,0,0,0-0,,False
104715,Ryan Rowe,Ryan,Rowe,L,19860403.0,USA,,,,,,,,,0,0,0,0,0-0,,False
104716,Edward Seator,Edward,Seator,R,19860407.0,GBR,,,,,,,,,0,0,0,0,0-0,,False
104718,Luis Diaz Barriga,Luis,Diaz Barriga,R,19860409.0,MEX,,Q6700486,,,,,,,0,0,0,0,0-0,,False
104720,Florian Reynet,Florian,Reynet,R,19860414.0,FRA,,,,,,,,,0,0,0,0,0-0,,False
104722,Miles Armstrong,Miles,Armstrong,U,19860416.0,AUS,,Q28853775,,,,,,,0,0,0,0,0-0,,False
104723,Juan Beaus Barquin,Juan,Beaus Barquin,U,19860421.0,ESP,,,,,,,,,0,0,0,0,0-0,,False
104725,Ahmed Ouadane,Ahmed,Ouadane,U,19860428.0,ALG,,,,,,,,,0,0,0,0,0-0,,False
104726,Davor Kuseta,Davor,Kuseta,R,19860428.0,CRO,,,,,,,,,0,0,0,0,0-0,,False
104727,Nikolai Soloviev,Nikolai,Soloviev,R,19860504.0,RUS,,,,,,,,,0,0,0,0,0-0,,False
